key,en,es,fr,ar
nodeloadbalancing.nodes_over_150_avg_load,Nodes over 150% avg load,Nodos con carga promedio superior al 150%,Nœuds à plus de 150 % de la charge moyenne,العقد بنسبة تحميل تزيد عن 150% من المتوسط
nodeloadbalancing.normal,Normal:,Normal:,Normal :,عادي:
nodeloadbalancing.optimal,Optimal:,Óptimo:,Optimal :,مثالي:
nodeloadbalancing.optimize_shipment_distribution_across_nodes_and_we,Optimize shipment distribution across nodes and weeks,Optimizar la distribución de envíos entre nodos y semanas,Optimiser la répartition des expéditions entre les nœuds et les semaines,تحسين توزيع الشحنات عبر العقد والأسابيع
nodeloadbalancing.porcentaje_de_desviaci_n_aceptable_respecto_al_val,Porcentaje de desviación aceptable respecto al valor de referencia.,Porcentaje de desviación aceptable respecto al valor de referencia.,Pourcentage de déviation acceptable par rapport à la valeur de référence.,نسبة الانحراف المقبولة بالنسبة للقيمة المرجعية.
nodeloadbalancing.preventive,Preventive:,Preventivo:,Préventif :,وقائي:
nodeloadbalancing.proceso,Proceso:,Proceso:,Processus :,العملية:
nodeloadbalancing.promedio_objetivo_total_shipments_nodos_semanas,Promedio objetivo = Total shipments / (Nodos × Semanas),Promedio objetivo = Total de envíos / (Nodos × Semanas),Moyenne cible = Expéditions totales / (Nœuds × Semaines),المتوسط المستهدف = إجمالي الشحنات / (العقد × الأسابيع)
nodeloadbalancing.purpose,Purpose:,Propósito:,Objectif :,الغرض:
nodeloadbalancing.quick_selection,Quick Selection,Selección rápida,Sélection rapide,اختيار سريع
nodeloadbalancing.reference_load,Reference Load,Carga de referencia,Charge de référence,الحمولة المرجعية
nodeloadbalancing.reference_samples_node,Reference Samples/Node,Muestras de referencia por nodo,Échantillons de référence/nœud,العينات المرجعية/العقدة
nodeloadbalancing.resultado,Resultado:,Resultado:,Résultat :,النتيجة:
nodeloadbalancing.saturated,Saturated:,Saturado:,Saturé :,مشبع:
nodeloadbalancing.saturated_nodes,Saturated Nodes,Nodos saturados,Nœuds saturés,العقد المشبعة
nodeloadbalancing.si_esperas_63_samples_por_nodo_este_ser_tu_valor_d,"Si esperas 63 samples por nodo, este será tu valor de referencia.","Si esperas 63 muestras por nodo, este será tu valor de referencia.","Si vous attendez 63 échantillons par nœud, ceci sera votre valeur de référence.",إذا كنت تتوقع 63 عينة لكل عقدة، فسيكون هذا هو قيمة المرجع الخاصة بك.
nodeloadbalancing.start_date,Start Date,Fecha de inicio,Date de début,تاريخ البدء
nodeloadbalancing.std_dev_after,Std Dev After,Desviación estándar después,Écart type après,الانحراف المعياري بعد
nodeloadbalancing.std_dev_before,Std Dev Before,Desviación estándar antes,Écart type avant,الانحراف المعياري قبل
nodeloadbalancing.summary,Summary,Resumen,Résumé,الملخص
nodeloadbalancing.total,Total:,Total:,Total :,الإجمالي:
nodeloadbalancing.total_shipments,Total Shipments,Total de envíos,Expéditions totales,إجمالي الشحنات
nodeloadbalancing.urgent,Urgent:,Urgente:,Urgent :,عاجل:
nodeloadbalancing.usage,Usage:,Uso:,Utilisation :,الاستخدام:
nodeloadbalancing.use_the_auto_balance_button_below_to_redistribute_,"Use the ""Auto-Balance"" button below to redistribute load automatically.","Usa el botón ""Autoequilibrar"" abajo para redistribuir la carga automáticamente.",Utilisez le bouton « Auto-équilibrage » ci-dessous pour redistribuer la charge automatiquement.,"استخدم زر ""التوازن التلقائي"" أدناه لإعادة توزيع الحمولة تلقائيًا."
nodeloadbalancing.warning,Warning:,Advertencia:,Avertissement :,تحذير:
nodeloadbalancing.year,Year,Año,Année,السنة
onedb.all_carriers,All Carriers,Todos los transportistas,Tous les transporteurs,جميع الناقلين
onedb.all_cities,All Cities,Todas las ciudades,Toutes les villes,جميع المدن
onedb.all_products,All Products,Todos los productos,Tous les produits,جميع المنتجات
onedb.all_records,All Records,Todos los registros,Tous les enregistrements,جميع السجلات
onedb.all_shipment_records,All shipment records,Todos los registros de envíos,Tous les enregistrements d'expédition,جميع سجلات الشحن
onedb.avg_transit_days,Avg Transit Days,Días promedio de tránsito,Jours de transit moyens,متوسط أيام العبور
onedb.business_days,Business Days,Días hábiles,Jours ouvrables,أيام العمل
onedb.business_days_average,Business days average,Promedio de días hábiles,Moyenne des jours ouvrables,متوسط أيام العمل
onedb.carrier,Carrier,Transportista,Transporteur,الناقل
onedb.delayed,Delayed,Retrasado,Retardé,متأخر
onedb.destination,Destination:,Destino:,Destination :,الوجهة:
onedb.destination_city,Destination City,Ciudad de destino,Ville de destination,مدينة الوجهة
onedb.exceeded_standard,Exceeded standard,Excedió el estándar,Norme dépassée,تجاوز المعيار
onedb.export_csv,Export CSV,Exportar CSV,Exporter CSV,تصدير CSV
onedb.filters,Filters,Filtros,Filtres,الفلاتر
onedb.from_date,From Date,Fecha desde,Date de début,من التاريخ
onedb.loading_records,Loading records...,Cargando registros...,Chargement des enregistrements...,جارٍ تحميل السجلات...
onedb.met_delivery_standard,Met delivery standard,Cumplió con el estándar de entrega,Norme de livraison respectée,تم تحقيق معيار التسليم
onedb.no_records_to_display,No records to display,No hay registros para mostrar,Aucun enregistrement à afficher,لا توجد سجلات للعرض
onedb.on_time,On Time,A tiempo,À l'heure,في الوقت المحدد
onedb.on_time_delivery,On-Time Delivery,Entrega a tiempo,Livraison à l'heure,التسليم في الوقت المحدد
onedb.one_db,ONE DB,UNA BD,UNE BD,قاعدة بيانات واحدة
onedb.origin,Origin:,Origen:,Origine :,الأصل:
onedb.origin_city,Origin City,Ciudad de origen,Ville d'origine,مدينة المنشأ
onedb.plan,Plan,Plan,Plan,الخطة
onedb.product,Product,Producto,Produit,المنتج
onedb.received,Received,Recibido,Reçu,تم الاستلام
onedb.reset_filters,Reset filters,Restablecer filtros,Réinitialiser les filtres,إعادة تعيين الفلاتر
onedb.route,Route,Ruta,Itinéraire,المسار
onedb.sent,Sent,Enviado,Envoyé,تم الإرسال
onedb.tag_id,Tag ID,ID de etiqueta,ID de l'étiquette,معرّف العلامة
onedb.tag_id_or_plan,Tag ID or Plan...,ID de etiqueta o plan...,ID de l'étiquette ou Plan...,معرّف العلامة أو الخطة...
onedb.to_date,To Date,Hasta la fecha,À ce jour,حتى تاريخه
onedb.total_records,Total Records,Total de registros,Total des enregistrements,إجمالي السجلات
onedb.transit_days,Transit Days,Días en tránsito,Jours de transit,أيام العبور
onedb.validated_postal_quality_analytics_repository,Validated postal quality analytics repository,Repositorio validado de análisis de calidad postal,Répertoire validé d'analyses de qualité postale,مستودع تحليلات جودة البريد المعتمد
panelists.activate,Activate,Activar,Activer,تفعيل
panelists.address_line_1,Address Line 1,Línea de dirección 1,Adresse ligne 1,السطر الأول من العنوان
panelists.address_line_2,Address Line 2,Línea de dirección 2,Adresse ligne 2,السطر الثاني من العنوان
panelists.all_cities,All Cities,Todas las ciudades,Toutes les villes,جميع المدن
panelists.all_nodes,All Nodes,Todos los nodos,Tous les nœuds,جميع العقد
panelists.all_panelists_in_system,All panelists in system,Todos los panelistas en el sistema,Tous les panélistes du système,جميع الأعضاء في النظام
panelists.all_status,All Status,Todos los estados,Tous les statuts,جميع الحالات
panelists.apartment_suite_etc_optional,"Apartment, suite, etc. (optional)","Apartamento, suite, etc. (opcional)","Appartement, suite, etc. (facultatif)",شقة، جناح، إلخ (اختياري)
panelists.available_for_deliveries,Available for deliveries,Disponible para entregas,Disponible pour les livraisons,متاح للتوصيل
panelists.choose_an_action_to_apply_to_all_selected_items,Choose an action to apply to all selected items,Elija una acción para aplicar a todos los elementos seleccionados,Choisissez une action à appliquer à tous les éléments sélectionnés,اختر إجراءً لتطبيقه على جميع العناصر المحددة
panelists.city,City,Ciudad,Ville,المدينة
panelists.code,Code,Código,Code,الرمز
panelists.code_name_email,"Code, name, email...","Código, nombre, correo electrónico...","Code, nom, e-mail...",الرمز، الاسم، البريد الإلكتروني...
panelists.country,Country,País,Pays,البلد
panelists.deactivate,Deactivate,Desactivar,Désactiver,تعطيل
panelists.delete_panelist,Delete panelist,Eliminar panelista,Supprimer le panéliste,حذف العضو
panelists.edit_panelist,Edit panelist,Editar panelista,Modifier le panéliste,تعديل العضو
panelists.email,Email,Correo electrónico,E-mail,البريد الإلكتروني
panelists.filters,Filters,Filtros,Filtres,الفلاتر
panelists.leave_empty_to_auto_generate,Leave empty to auto-generate,Dejar vacío para generar automáticamente,Laisser vide pour générer automatiquement,اتركه فارغًا للتوليد التلقائي
panelists.loading,Loading...,Cargando...,Chargement...,جارٍ التحميل...
panelists.manage_panelist_profiles_and_assignments,Manage panelist profiles and assignments,Gestionar perfiles y asignaciones de panelistas,Gérer les profils et les affectations des panélistes,إدارة ملفات الأعضاء وتعييناتهم
panelists.manage_panelists_and_their_availability_for_delive,Manage panelists and their availability for deliveries,Gestionar panelistas y su disponibilidad para entregas,Gérer les panélistes et leur disponibilité pour les livraisons,إدارة الأعضاء وتوفرهم للتوصيل
panelists.mobile,Mobile,Móvil,Mobile,الجوال
panelists.name,Name,Nombre,Nom,الاسم
panelists.node,Node,Nodo,Nœud,العقدة
panelists.not_available,Not available,No disponible,Indisponible,غير متوفر
panelists.panelist_code,Panelist Code,Código de panelista,Code panéliste,رمز المشارك
panelists.panelists,Panelists,Panelistas,Panélistes,المشاركون
panelists.panelists_management,Panelists Management,Gestión de panelistas,Gestion des panélistes,إدارة المشاركين
panelists.postal_code,Postal Code,Código postal,Code postal,الرمز البريدي
panelists.reset_all_filters,Reset all filters,Restablecer todos los filtros,Réinitialiser tous les filtres,إعادة تعيين جميع الفلاتر
panelists.select_a_node,Select a node,Seleccionar un nodo,Sélectionnez un nœud,اختر عقدة
panelists.street_address,Street address,Dirección,Adresse,عنوان الشارع
panelists.telegram_id,Telegram ID,ID de Telegram,ID Telegram,معرف تيليجرام
panelists.total_panelists,Total Panelists,Total de panelistas,Nombre total de panélistes,إجمالي المشاركين
panelists.unavailability_periods,Unavailability Periods,Períodos de indisponibilidad,Périodes d'indisponibilité,فترات عدم التوفر
panelists.username_or_numeric_id,@username or numeric ID,@usuario o ID numérico,@nomdutilisateur ou ID numérique,@اسم_المستخدم أو المعرف الرقمي
panelistunavailability.tsx.additional_information_about_this_unavailability_p,Additional information about this unavailability period...,Información adicional sobre este período de indisponibilidad...,Informations supplémentaires sur cette période d'indisponibilité...,معلومات إضافية عن فترة عدم التوفر هذه...
panelistunavailability.tsx.all_panelists,All Panelists,Todos los panelistas,Tous les panélistes,جميع المشاركين
panelistunavailability.tsx.all_periods,All Periods,Todos los períodos,Toutes les périodes,جميع الفترات
panelistunavailability.tsx.all_reasons,All Reasons,Todas las razones,Toutes les raisons,جميع الأسباب
panelistunavailability.tsx.all_status,All Status,Todos los estados,Tous les statuts,جميع الحالات
panelistunavailability.tsx.cancel_periods,Cancel Periods,Cancelar períodos,Annuler les périodes,إلغاء الفترات
panelistunavailability.tsx.cancelled,Cancelled,Cancelado,Annulé,تم الإلغاء
panelistunavailability.tsx.clear_selection,Clear Selection,Borrar selección,Effacer la sélection,مسح التحديد
panelistunavailability.tsx.current_active_now,Current (Active Now),Actual (Activo ahora),Actuel (Actif maintenant),الحالي (نشط الآن)
panelistunavailability.tsx.date_range,Date Range,Rango de fechas,Plage de dates,نطاق التاريخ
panelistunavailability.tsx.duration,Duration,Duración,Durée,المدة
panelistunavailability.tsx.end_date,End Date,Fecha de finalización,Date de fin,تاريخ الانتهاء
panelistunavailability.tsx.filters,Filters,Filtros,Filtres,الفلاتر
panelistunavailability.tsx.loading,Loading...,Cargando...,Chargement...,جارٍ التحميل...
panelistunavailability.tsx.manage_panelist_unavailability_periods_for_automat,Manage panelist unavailability periods for automatic sample reassignment,Gestionar períodos de indisponibilidad del panelista para la reasignación automática de muestras,Gérer les périodes d'indisponibilité des panélistes pour la réaffectation automatique des échantillons,إدارة فترات عدم توفر الأعضاء لإعادة تعيين العينة تلقائيًا
panelistunavailability.tsx.notes,Notes,Notas,Notes,ملاحظات
panelistunavailability.tsx.other,Other,Otros,Autre,أخرى
panelistunavailability.tsx.panelist,Panelist,Panelista,Panéliste,عضو اللجنة
panelistunavailability.tsx.panelist_name_notes,"Panelist name, notes...","Nombre del panelista, notas...","Nom du panéliste, notes...",اسم العضو، ملاحظات...
panelistunavailability.tsx.past,Past,Pasado,Passé,الماضي
panelistunavailability.tsx.personal,Personal,Personal,Personnel,شخصي
panelistunavailability.tsx.reason,Reason,Motivo,Raison,السبب
panelistunavailability.tsx.reset_all_filters,Reset all filters,Restablecer todos los filtros,Réinitialiser tous les filtres,إعادة تعيين جميع الفلاتر
panelistunavailability.tsx.select_a_panelist,Select a panelist,Seleccionar un panelista,Sélectionner un panéliste,اختر عضوًا
panelistunavailability.tsx.sick_leave,Sick Leave,Baja por enfermedad,Congé maladie,إجازة مرضية
panelistunavailability.tsx.start_date,Start Date,Fecha de inicio,Date de début,تاريخ البدء
panelistunavailability.tsx.training,Training,Capacitación,Formation,التدريب
panelistunavailability.tsx.unavailability_periods,Unavailability Periods,Períodos de indisponibilidad,Périodes d'indisponibilité,فترات عدم التوفر
panelistunavailability.tsx.upcoming,Upcoming,Próximos,À venir,القادمة
panelistunavailability.tsx.vacation,Vacation,Vacaciones,Vacances,إجازة
receivegenerator.advance_variance_days,Advance Variance (days),Variación anticipada (días),Écart anticipé (jours),فرق التقدم (أيام)
receivegenerator.carriers,Carriers,Transportistas,Transporteurs,الناقلون
receivegenerator.delay_variance_days,Delay Variance (days),Variación de retraso (días),Écart de retard (jours),فرق التأخير (أيام)
receivegenerator.demo_account_only_this_feature_is_only_available_f,Demo Account Only - This feature is only available for testing purposes,Solo cuenta de demostración - Esta función está disponible únicamente para fines de prueba,Compte de démonstration uniquement - Cette fonctionnalité est disponible uniquement à des fins de test,حساب تجريبي فقط - هذه الميزة متاحة لأغراض الاختبار فقط
receivegenerator.end_date,End Date,Fecha de finalización,Date de fin,تاريخ الانتهاء
receivegenerator.generate_records,Generate Records,Generar registros,Générer des enregistrements,إنشاء السجلات
receivegenerator.generate_synthetic_receive_records_for_testing_and,Generate synthetic receive records for testing and demo purposes,Generar registros sintéticos de recepción para pruebas y demostraciones,Générer des enregistrements de réception synthétiques à des fins de test et de démonstration,إنشاء سجلات استلام اصطناعية لأغراض الاختبار والعرض التوضيحي
receivegenerator.generation_complete,Generation Complete,Generación completada,Génération terminée,اكتمل الإنشاء
receivegenerator.generation_summary,Generation Summary,Resumen de generación,Résumé de la génération,ملخص الإنشاء
receivegenerator.generator_configuration,Generator Configuration,Configuración del generador,Configuration du générateur,تكوين المُنشئ
receivegenerator.maximum_days_records_can_arrive_early,Maximum days records can arrive early,Máximo de días que los registros pueden llegar antes,Nombre maximum de jours d'avance pour l'arrivée des enregistrements,الحد الأقصى لأيام وصول السجلات مبكرًا
receivegenerator.maximum_days_records_can_be_delayed_beyond_sla,Maximum days records can be delayed beyond SLA,Máximo de días que los registros pueden retrasarse más allá del SLA,Nombre maximum de jours de retard des enregistrements au-delà du SLA,الحد الأقصى لأيام تأخير السجلات بعد اتفاقية مستوى الخدمة
receivegenerator.number_of_records,Number of Records,Número de registros,Nombre d'enregistrements,عدد السجلات
receivegenerator.out_of_sla_percentage,Out of SLA Percentage (%),Porcentaje fuera de SLA (%),Pourcentage hors SLA (%),نسبة الخروج عن اتفاقية مستوى الخدمة (%)
receivegenerator.products,Products,Productos,Produits,المنتجات
receivegenerator.receive_generator,Receive Generator,Generador de Recepción,Récepteur de générateur,مولد الاستلام
receivegenerator.select_all,Select All,Seleccionar Todo,Tout sélectionner,تحديد الكل
receivegenerator.start_date,Start Date,Fecha de Inicio,Date de début,تاريخ البدء
reporting.above_standard_good,Above standard (good),Por encima del estándar (bueno),Au-dessus de la norme (bon),فوق المعيار (جيد)
reporting.actual,Actual %:,% Actual:,% réel :,النسبة الفعلية:
reporting.actual_days,Actual (days),Días Actuales,Réel (jours),الفعلي (أيام)
reporting.actual_standard,Actual ≥ Standard %,% Actual ≥ Estándar,Réel ≥ % standard,الفعلي ≥ النسبة المعيارية
reporting.all_carriers,All Carriers,Todos los Transportistas,Tous les transporteurs,جميع الناقلين
reporting.all_destinations,All Destinations,Todos los Destinos,Toutes les destinations,جميع الوجهات
reporting.all_origins,All Origins,Todos los Orígenes,Toutes les origines,جميع المناشئ
reporting.all_products,All Products,Todos los Productos,Tous les produits,جميع المنتجات
reporting.all_regions,All Regions,Todas las Regiones,Toutes les régions,جميع المناطق
reporting.all_statuses,All Statuses,Todos los Estados,Tous les statuts,جميع الحالات
reporting.analyze_inbound_quality_to_one_city_from_all_origi,Analyze inbound quality to one city from all origins,Analizar calidad de entrada a una ciudad desde todos los orígenes,Analyser la qualité entrante vers une ville depuis toutes les origines,تحليل جودة الوارد إلى مدينة واحدة من جميع المناشئ
reporting.analyze_inbound_vs_outbound_service_quality_separa,Analyze inbound vs outbound service quality separately,Analizar calidad de servicio de entrada vs salida por separado,Analyser séparément la qualité de service entrante et sortante,تحليل جودة الخدمة الواردة مقابل الصادرة بشكل منفصل
reporting.analyze_outbound_quality_from_one_city_to_all_dest,Analyze outbound quality from one city to all destinations,Analizar calidad de salida desde una ciudad a todos los destinos,Analyser la qualité sortante d'une ville vers toutes les destinations,تحليل جودة الصادر من مدينة واحدة إلى جميع الوجهات
reporting.analyze_service_equity_across_cities_and_regions,Analyze service equity across cities and regions,Analizar equidad del servicio entre ciudades y regiones,Analyser l'équité du service entre villes et régions,تحليل عدالة الخدمة عبر المدن والمناطق
reporting.analyze_specific_route_performance_origin_destinat,Analyze specific route performance (origin → destination),Analizar desempeño de ruta específica (origen → destino),Analyser la performance d'une route spécifique (origine → destination),تحليل أداء مسار محدد (المصدر → الوجهة)
reporting.analyze_trends_over_specific_time_periods,Analyze trends over specific time periods,Analizar tendencias en períodos de tiempo específicos,Analyser les tendances sur des périodes spécifiques,تحليل الاتجاهات خلال فترات زمنية محددة
reporting.average_business_days_for_all_shipments,Average business days for all shipments,Promedio de días hábiles para todos los envíos,Jours ouvrables moyens pour tous les envois,متوسط أيام العمل لجميع الشحنات
reporting.avg_j_k_actual,Avg J+K Actual,Promedio J+K Real,Moyenne J+K Réelle,متوسط J+K الفعلي
reporting.avg_transit_days,Avg Transit Days,Promedio de Días de Tránsito,Moyenne des jours de transit,متوسط أيام العبور
reporting.basic_information,Basic Information,Información Básica,Informations de base,المعلومات الأساسية
reporting.below_critical_threshold_with_penalty,Below critical threshold (with penalty),Por debajo del umbral crítico (con penalización),En dessous du seuil critique (avec pénalité),أقل من الحد الحرج (مع عقوبة)
reporting.below_standard_but_above_critical_no_penalty,Below standard but above critical (no penalty),Por debajo del estándar pero por encima del crítico (sin penalización),En dessous de la norme mais au-dessus du critique (sans pénalité),أقل من المعيار ولكن فوق الحد الحرج (بدون عقوبة)
reporting.below_standard_deviation,Below standard (deviation),Por debajo del estándar (desviación),En dessous de la norme (écart),أقل من المعيار (انحراف)
reporting.both_cities,Both cities:,Ambas ciudades:,Les deux villes :,كلا المدينتين:
reporting.both_directions,Both Directions,Ambas direcciones,Les deux directions,كلا الاتجاهين
reporting.carrier,Carrier,Transportista,Transporteur,الناقل
reporting.carrier_product,Carrier / Product,Transportista / Producto,Transporteur / Produit,الناقل / المنتج
reporting.carrier_product_breakdown,Carrier & Product Breakdown,Desglose por Transportista y Producto,Répartition Transporteur & Produit,تفصيل الناقل والمنتج
reporting.carrier_product_level,Carrier/Product Level:,Nivel Transportista/Producto:,Niveau Transporteur/Produit :,مستوى الناقل / المنتج:
reporting.carrier_product_overview,Carrier & Product Overview,Resumen de Transportista y Producto,Aperçu Transporteur & Produit,نظرة عامة على الناقل والمنتج
reporting.carrier_product_route,Carrier / Product / Route,Transportista / Producto / Ruta,Transporteur / Produit / Itinéraire,الناقل / المنتج / المسار
reporting.chart_view,Chart View,Vista de Gráfico,Vue graphique,عرض الرسم البياني
reporting.circle_size_population,Circle size = Population,Tamaño del círculo = Población,Taille du cercle = Population,حجم الدائرة = السكان
reporting.cities,Cities,Ciudades,Villes,المدن
reporting.citizens_affected,Citizens Affected,Ciudadanos afectados,Citoyens affectés,المواطنين المتأثرين
reporting.city,City,Ciudad,Ville,المدينة
reporting.city_analysis,City Analysis,Análisis de la ciudad,Analyse de la ville,تحليل المدينة
reporting.city_equity_details,City Equity Details,Detalles de Equidad de la Ciudad,Détails de l'équité de la ville,تفاصيل حقوق المدينة
reporting.city_equity_details_table,City Equity Details Table,Tabla de Detalles de Equidad de la Ciudad,Tableau des détails de l'équité de la ville,جدول تفاصيل حقوق المدينة
reporting.city_service_equity_treemap,City Service Equity Treemap,Mapa de Árbol de Equidad del Servicio de la Ciudad,Treemap de l'équité des services de la ville,خريطة شجرة حقوق خدمة المدينة
reporting.class,Class,Clase,Classe,الفئة
reporting.classification,Classification:,Clasificación:,Classification :,التصنيف:
reporting.compl,Compl.,Compl.,Compl.,الشكوى
reporting.compliance,Compliance:,Cumplimiento:,Conformité :,الامتثال:
reporting.compliance_analysis_by_carrier_product_route,Compliance analysis by Carrier → Product → Route,Análisis de cumplimiento por Transportista → Producto → Ruta,Analyse de conformité par Transporteur → Produit → Itinéraire,تحليل الامتثال حسب الناقل → المنتج → المسار
reporting.compliance_by_carrier_product_route,Compliance by Carrier → Product → Route,Cumplimiento por Transportista → Producto → Ruta,Conformité par Transporteur → Produit → Itinéraire,الامتثال حسب الناقل → المنتج → المسار
reporting.compliance_status,Compliance Status,Estado de Cumplimiento,Statut de conformité,حالة الامتثال
reporting.compliance_status_based_on_dynamic_thresholds,Compliance status based on dynamic thresholds:,Estado de cumplimiento basado en umbrales dinámicos:,Statut de conformité basé sur des seuils dynamiques :,حالة الامتثال بناءً على العتبات الديناميكية:
reporting.compliant,Compliant:,Cumplido:,Conforme :,متوافق
reporting.compliant_routes,Compliant Routes,Rutas Cumplidas,Itinéraires conformes,المسارات المتوافقة
reporting.compliant_shipments_total_shipments_100,Compliant shipments / Total shipments × 100%,Envíos cumplidos / Total de envíos × 100%,Expéditions conformes / Total des expéditions × 100 %,الشحنات المتوافقة / إجمالي الشحنات × 100%
reporting.critical,Critical,Crítico,Critique,حرج
reporting.critical_limit,Critical Limit:,Límite Crítico:,Limite critique :,الحد الحرج:
reporting.critical_routes,Critical Routes,Rutas Críticas,Itinéraires critiques,المسارات الحرجة
reporting.cumulative,Cumulative:,Acumulativo:,Cumulatif :,تراكمي:
reporting.cumulative_distribution_analysis,Cumulative Distribution Analysis,Análisis de Distribución Acumulativa,Analyse de distribution cumulative,تحليل التوزيع التراكمي
reporting.cumulative_percentage_of_deliveries_by_transit_day,Cumulative percentage of deliveries by transit days.,Porcentaje acumulado de entregas por días de tránsito.,Pourcentage cumulatif des livraisons selon les jours de transit.,النسبة المئوية التراكمية للتسليمات حسب أيام العبور.
reporting.current_week,Current Week,Semana Actual,Semaine en cours,الأسبوع الحالي
reporting.date_range,Date Range:,Rango de Fechas:,Plage de dates :,نطاق التاريخ:
reporting.delayed,Delayed,Retrasado,Retardé,متأخر
reporting.description,Description:,Descripción:,Description :,الوصف:
reporting.destination_city,Destination City,Ciudad de Destino,Ville de destination,مدينة الوجهة
reporting.destination_only,Destination only:,Solo Destino:,Destination uniquement :,الوجهة فقط:
reporting.deviation,Deviation,Desviación,Écart,انحراف
reporting.difference_between_actual_and_standard,Difference between Actual % and Standard %,Diferencia entre % Real y % Estándar,Différence entre % réel et % standard,الفرق بين النسبة الفعلية والنسبة المعيارية
reporting.direct_value_from_delivery_standards,Direct value from delivery_standards,Valor directo de delivery_standards,Valeur directe de delivery_standards,القيمة المباشرة من delivery_standards
reporting.direction,Direction,Dirección,Direction,الاتجاه
reporting.direction_gap,Direction Gap:,Brecha de Dirección:,Écart de direction :,فجوة الاتجاه:
reporting.directional_analysis,Directional Analysis,Análisis Direccional,Analyse directionnelle,التحليل الاتجاهي
reporting.distribution_of_shipments_by_actual_transit_time_v,Distribution of shipments by actual transit time vs delivery standard,Distribución de envíos por tiempo de tránsito real vs estándar de entrega,Répartition des envois selon le temps de transit réel vs norme de livraison,توزيع الشحنات حسب وقت العبور الفعلي مقابل معيار التسليم
reporting.end_date,End Date,Fecha de Fin,Date de fin,تاريخ الانتهاء
reporting.equity_status,Equity Status,Estado de Equidad,Statut des capitaux propres,حالة الأسهم
reporting.export_audit_report,Export Audit Report,Informe de Auditoría de Exportación,Rapport d'audit d'exportation,تقرير تدقيق التصدير
reporting.export_csv,Export CSV,Exportar CSV,Exporter CSV,تصدير CSV
reporting.export_filtered_data_to_csv,Export filtered data to CSV,Exportar datos filtrados a CSV,Exporter les données filtrées en CSV,تصدير البيانات المفلترة إلى CSV
reporting.filter_analysis_guide,Filter Analysis Guide,Guía de Análisis de Filtros,Guide d'analyse des filtres,دليل تحليل الفلاتر
reporting.filters,Filters,Filtros,Filtres,الفلاتر
reporting.focus_analysis_on_specific_geographic_areas,Focus analysis on specific geographic areas,Enfocar el análisis en áreas geográficas específicas,Concentrer l'analyse sur des zones géographiques spécifiques,تركيز التحليل على مناطق جغرافية محددة
reporting.further_narrow_analysis_to_specific_service_provid,Further narrow analysis to specific service providers or types,Restringir aún más el análisis a proveedores de servicios o tipos específicos,Affiner davantage l'analyse par fournisseurs de services ou types spécifiques,تضييق التحليل أكثر لمزودي الخدمة أو الأنواع المحددة
reporting.general_performance_dashboard,General Performance Dashboard,Panel de Rendimiento General,Tableau de bord de performance générale,لوحة الأداء العامة
reporting.geographic_distribution,Geographic Distribution,Distribución Geográfica,Répartition géographique,التوزيع الجغرافي
reporting.geographic_view,Geographic View,Vista Geográfica,Vue géographique,العرض الجغرافي
reporting.green,Green,Verde,Vert,أخضر
reporting.identify_cities_with_specific_compliance_levels,Identify cities with specific compliance levels,Identificar ciudades con niveles específicos de cumplimiento,Identifier les villes avec des niveaux de conformité spécifiques,تحديد المدن بمستويات امتثال محددة
reporting.inb,Inb.,Entrante,Entrant,وارد
reporting.inbound,Inbound %,% Entrante,% Entrant,نسبة الوارد
reporting.inbound_arrivals,Inbound (Arrivals),Entrante (Llegadas),Entrant (Arrivées),وارد (الوصولات)
reporting.inbound_vs_outbound_comparison_top_10_by_direction,Inbound vs Outbound Comparison (Top 10 by Direction Gap),Comparación Entrante vs Saliente (Top 10 por Diferencia de Dirección),Comparaison Entrant vs Sortant (Top 10 par écart de direction),مقارنة الوارد والصادر (أفضل 10 حسب فرق الاتجاه)
reporting.inbound_vs_outbound_compliance_chart,Inbound vs Outbound Compliance Chart,Gráfico de Cumplimiento Entrante vs Saliente,Graphique de conformité Entrant vs Sortant,مخطط امتثال الوارد مقابل الصادر
reporting.interpretation,Interpretation:,Interpretación:,Interprétation :,التفسير:
reporting.j_k_actual,J+K Actual,J+K Real,J+K Réel,J+K الفعلي
reporting.j_k_performance_report,J+K Performance Report,Informe de Rendimiento J+K,Rapport de performance J+K,تقرير أداء J+K
reporting.j_k_std,J+K Std,J+K Estándar,J+K Std,J+K المعياري
reporting.legend,Legend,Leyenda,Légende,الأسطورة
reporting.loading,Loading...,Cargando...,Chargement...,جارٍ التحميل...
reporting.loading_compliance_data,Loading compliance data...,Cargando datos de cumplimiento...,Chargement des données de conformité...,جارٍ تحميل بيانات الامتثال...
reporting.loading_j_k_performance_data,Loading J+K performance data...,Cargando datos de rendimiento J+K...,Chargement des données de performance J+K...,جارٍ تحميل بيانات أداء J+K...
reporting.loading_performance_data,Loading performance data...,Cargando datos de rendimiento...,Chargement des données de performance...,جارٍ تحميل بيانات الأداء...
reporting.loading_territory_equity_data,Loading territory equity data...,Cargando datos de equidad territorial...,Chargement des données d'équité territoriale...,جارٍ تحميل بيانات حقوق الإقليم...
reporting.mapa_de_localidades_treemap,Mapa de Localidades (Treemap),Mapa de Localidades (Treemap),Carte des localités (Treemap),خريطة المواقع (مخطط شجري)
